¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20221209,19734,-7007,-11330,-4842,0,-6488,0,0,0,-1200,-197,0
A018000,¿Ø¥œΩº,20221212,107366,-97781,-256,-256,0,0,0,0,0,-5000,-4329,0
A018000,¿Ø¥œΩº,20221214,-9509,19734,-498,-498,0,0,0,0,0,-10000,273,0
A018000,¿Ø¥œΩº,20221213,3984,-3069,-915,-915,0,0,0,0,0,0,0,0
A018000,¿Ø¥œΩº,20221216,-52723,52157,-40,-45,0,5,0,0,0,0,606,0
A018000,¿Ø¥œΩº,20221215,-61351,61068,-25,-25,0,0,0,0,0,0,308,0
A018000,¿Ø¥œΩº,20221220,47638,-40661,43,43,0,0,0,0,0,-7607,587,0
A018000,¿Ø¥œΩº,20221219,8345,-8396,30,30,0,0,0,0,0,0,21,0
A018000,¿Ø¥œΩº,20221222,697,7899,-1344,-1344,0,0,0,0,0,-7360,108,0
A018000,¿Ø¥œΩº,20221221,1764,5595,-107,-107,0,0,0,0,0,-7360,108,0
A018000,¿Ø¥œΩº,20221223,-36444,46093,-16059,-14,0,-16045,0,0,0,7065,-655,0
A018000,¿Ø¥œΩº,20221226,9453,-7752,1698,1698,0,0,0,0,0,-3400,1,0
A018000,¿Ø¥œΩº,20221228,-19998,22467,-1888,-1888,0,0,0,0,0,-500,-81,0
A018000,¿Ø¥œΩº,20221227,-16014,16605,0,0,0,0,0,0,0,-500,-91,0
A018000,¿Ø¥œΩº,20221229,23514,-24335,61,61,0,0,0,0,0,60,700,0
A018000,¿Ø¥œΩº,20230103,-11705,11576,973,973,0,0,0,0,0,0,-844,0
A018000,¿Ø¥œΩº,20230102,20021,-20435,716,716,0,0,0,0,0,0,-302,0
A018000,¿Ø¥œΩº,20230105,14901,-17935,3034,3034,0,0,0,0,0,0,0,0
A018000,¿Ø¥œΩº,20230104,-23985,22790,1195,1195,0,0,0,0,0,0,0,0
A018000,¿Ø¥œΩº,20230106,-49002,48785,298,298,0,0,0,0,0,0,-81,0
A018000,¿Ø¥œΩº,20230109,-41824,41265,585,585,0,0,0,0,0,0,-26,0
A018000,¿Ø¥œΩº,20230111,-88534,69916,20,20,0,0,0,0,0,18598,0,0
